id,name,description,votes,sortorder
5730,John A. Knauss, oceanographer,0,9999
5731,Korrie Layun Rampan, author and politician,0,9999
5732,Rex Reason," actor (This Island Earth, The Creature Walks Among Us, The Roaring 20's)",0,9999
5733,Jim Stump, baseball player (Detroit Tigers),0,9999
5734,R. K. Trivedi," politician, Governor of Gujarat (1986–1990)",0,9999
5735,Herman Wecke, soccer player,0,9999
5736,Mal Whitfield," middle-distance runner, Olympic champion (1948, 1952) and aviator (Tuskegee Airmen)",0,9999
5737,John Eugene Zuccotti," businessman, namesake of Zuccotti Park",0,9999
5738,Peter Dimmock, broadcaster (Sportsview),0,9999
5739,Vlatko Dulić, actor and theatre director,0,9999
5740,Miroslav Fiedler, mathematician,0,9999
5741,Ronald Frankenberg, anthropologist,0,9999
5742,Néstor Isella, football player and coach,0,9999
5743,Lex Jacoby, writer,0,9999
5744,Austin H. Kiplinger, journalist,0,9999
5745,Svetlana Kitova, middle-distance runner,0,9999
5746,Agustin Mantilla, economist and politician,0,9999
5747,Keith Michell," actor (The Six Wives of Henry VIII, Henry VIII and His Six Wives, Murder, She Wrote) and director",0,9999
5748,Jan Monrad, comedian and entertainer,0,9999
5749,Nguyen-Thien Dao, composer,0,9999
5750,Carlos Oroza, poet,0,9999
5751,Richard Owen, federal judge and composer,0,9999
5752,Héctor Salva, international footballer,0,9999
5753,Nancy Sandars, archaeologist,0,9999
5754,Kitanoumi Toshimitsu, sumo wrestler chairman of the Japan Sumo Association (2002–2008 since 2012),0,9999
5755,Raymond van Schoor, cricketer,0,9999
5756,Gregory H. Adamian, academic,0,9999
5757,Gil Cardinal, filmmaker,0,9999
5758,Kerry Dineen, baseball player (New York Yankees),0,9999
5759,Ameen Faheem, politician Commerce Minister (2008–2013) and poet,0,9999
5760,Fan Xuji, academic,0,9999
5761,Bob Foster," boxer, world light heavyweight champion (1968–1974)",0,9999
5762,Linda Haglund, Olympic sprinter (1972 1976 1980),0,9999
5763,Adele Horin, writer and journalist,0,9999
5764,Ken Johnson," baseball player (Atlanta Braves, Houston Astros)",0,9999
5765,Paku Alam IX, prince and politician,0,9999
5766,Tayva Patch, actress in Mormon cinema,0,9999
5767,Cavit Şadi Pehlivanoğlu, politician member of the Grand National Assembly of Turkey (1961–1996),0,9999
5768,Anthony Read, screenwriter (Doctor Who),0,9999
5769,Germán Robles, actor,0,9999
5770,Richard Russell, finance writer,0,9999
5771,Joseph Silverstein, violinist and conductor,0,9999
5772,Zoran Ubavič, footballer,0,9999
5773,Hazel Adair," television writer (Crossroads, Compact, Emergency – Ward 10)",0,9999
5774,Abubakar Audu, politician Governor of Kogi State (1992–1993 1999–2003),0,9999
5775,Henson P. Barnes," politician, member of the North Carolina Senate (1977–1992)",0,9999
5776,Salahuddin Quader Chowdhury, politician and convicted war criminal,0,9999
5777,Howard E. Greer, vice admiral,0,9999
5778,Jerzy Karasiński, footballer (Lech Poznań),0,9999
5779,Kim Young-sam, politician President (1993–1998),0,9999
5780,Sipke van der Land, presenter (NCRV),0,9999
5781,Weslyn Mather, politician Alberta MLA for Edmonton-Mill Woods (2004–2008),0,9999
5782,Valentin Mogilny, gymnast,0,9999
5783,Ali Ahsan Mohammad Mojaheed, politician and convicted war criminal,0,9999
5784,Adele Morales, painter,0,9999
5785,Albert Pick, numismatist,0,9999
5786,Alfredo Prucker, Nordic skier,0,9999
5787,Ingeborg Sjöqvist," Olympic diver (1932, 1936)",0,9999
5788,Robin Stewart," actor (Bless This House, Cromwell, The Legend of the 7 Golden Vampires)",0,9999
5789,André Waignein, composer,0,9999
5790,Jamiluddin Aali, Urdu poet,0,9999
5791,Topazia Alliata, painter and writer,0,9999
5792,Pierre Bernard, graphic artist and designer,0,9999
5793,Manmeet Bhullar, politician Alberta MLA (Calgary-Greenway) and cabinet minister,0,9999
5794,Jerzy Browkin, mathematician,0,9999
5795,Dan Fante, author and playwright,0,9999
5796,Hazel Holt, novelist,0,9999
5797,Steve Hrymnak, ice hockey player (Chicago Black Hawks),0,9999
5798,Kâmran İnan, politician,0,9999
5799,Jouni Kaipainen, composer,0,9999
5800,Alex Kersey-Brown, rugby player,0,9999
5801,Beatriz Lockhart, pianist and composer,0,9999
5802,Antônio Lomanto Júnior," politician, Governor of Bahia (1963–1967)",0,9999
5803,Sam Mardian," politician, Mayor of Phoenix (1960–1964)",0,9999
5804,Douglass North, economist and laureate of the Nobel Memorial Prize in Economic Sciences (1993),0,9999
5805,Lev Okun, theoretical physicist,0,9999
5806,Juan Quarterone, football player and coach,0,9999
5807,Kaladevanhalli Ramprasad, cricketer,0,9999
5808,Cynthia Robinson, trumpeter and vocalist (Sly and the Family Stone),0,9999
5809,Willie Royster, baseball player (Baltimore Orioles),0,9999
5810,Otto Schaden, Egyptologist,0,9999
5811,Jim Sochor, football player and coach (UC Davis),0,9999
5812,Ankie Stork, World War II resistance fighter,0,9999
5813,Yoram Tsafrir, archaeologist,0,9999
5814,Sir Robert Ford, army general Adjutant-General to the Forces (1978–1981),0,9999
5815,John Forrester, historian and philosopher of science,0,9999
5816,Pierre Gabriel, mathematician (Gabriel's theorem),0,9999
5817,Zdeněk Humhal," volleyball player, Olympic silver medalist (1964)",0,9999
5818,Al Markim," actor (Tom Corbett, Space Cadet)",0,9999
5819,Quincy Monk, football player (New York Giants Houston Texans),0,9999
5820,Mariam Mukhtar, fighter pilot,0,9999
5821,Heinz Oberhummer, physicist,0,9999
5822,A. S. Ponnammal, politician,0,9999
5823,Aubrey Sheiham, dental epidemiologist,0,9999
5824,Douglas W. Shorenstein, real estate developer chairman of the board of the Federal Reserve Bank of San Francisco,0,9999
5825,"Niel Tupas, Sr.", politician,0,9999
5826,Varduhi Varderesyan, actress,0,9999
5827,Aurora Venturini, author,0,9999
5828,Steven Vogel, biologist,0,9999
5829,Steve Wildstrom, technology journalist (BusinessWeek),0,9999
5830,O'Neil Bell, cruiserweight boxer undisputed champion (2006),0,9999
5831,Sir Jeremy Black, admiral,0,9999
5832,Kerry Casey," actor, writer and director (George of the Jungle 2, Mighty Morphin' Power Rangers: The Movie)",0,9999
5833,Svein Christiansen, jazz drummer,0,9999
5834,Gloria Contreras Roeniger, dancer and choreographer,0,9999
5835,Jean Corti, accordionist,0,9999
5836,Judith Fitzgerald, poet,0,9999
5837,Eva Fuka, photographer,0,9999
5838,Lennart Hellsing, author and translator,0,9999
5839,Pierre-Yvon Lenoir, Olympic middle distance runner (1960),0,9999
5840,Chris Martin, civil servant Principal Private Secretary to the Prime Minister (since 2012),0,9999
5841,Beth Rogan, actress (Mysterious Island),0,9999
5842,Inuwa Wada, politician,0,9999
5843,Elmo Williams," editor and producer (High Noon, The Longest Day, Tora! Tora! Tora!), Oscar winner (1953)",0,9999
5844,Amir Aczel, mathematician and scientist,0,9999
5845,Ronnie Bright," bass singer (The Cadillacs, The Coasters, The Valentines)",0,9999
5846,Jorgo Bulo, philologist and historian,0,9999
5847,Eldzier Cortor, artist,0,9999
5848,Tom Dublinski, football player,0,9999
5849,Norbert Gastell, actor and voice actor (Homer Simpson),0,9999
5850,Tommy Gilbert, professional wrestler (CWA/USWA) and referee (UWF),0,9999
5851,Noboru Karashima, historian,0,9999
5852,Jerrold Kemp, academic,0,9999
5853,Del Kennedy, football player (Footscray),0,9999
5854,Guy Lewis, Hall of Fame college basketball coach (Houston Cougars),0,9999
5855,Tom Moss, politician Speaker (1991–2000) and member of the Virginia House of Delegates (1966–2002),0,9999
5856,George Pyne III, football player (Boston Patriots),0,9999
5857,Jovan Šarčević, footballer (FK Proleter Zrenjanin),0,9999
5858,Sumiko Shirakawa," voice actress (Doraemon, Sazae-san, Space Dandy)",0,9999
5859,Bill Stauffer, basketball player (Missouri Tigers),0,9999
5860,David Steinmetz, historian,0,9999
5861,Bill Tucker," football player (San Francisco 49ers, Chicago Bears)",0,9999
5862,H. Khekiho Zhimomi, politician,0,9999
5863,Humza Al-Hafeez, police officer and activist,0,9999
5864,Ragnhild Barland," politician, member of Parliament (1985–1997)",0,9999
5865,Mark Behr, author (The Smell of Apples),0,9999
5866,José Benedito Simão," Roman Catholic prelate, Bishop of Assis (since 2009)",0,9999
5867,Ian Dargie, footballer (Brentford),0,9999
5868,Luca De Filippo, actor and theatre director,0,9999
5869,Esperanza Guisán, philosopher,0,9999
5870,Barbro Hiort af Ornäs," actress (Brink of Life, The Touch, Shame)",0,9999
5871,V. Krishnaprasad, cricketer,0,9999
5872,Alexander Kukarin, modern pentathlete,0,9999
5873,Mukund Sathe, cricketer,0,9999
5874,Maurice Strong, businessman and diplomat,0,9999
5875,Garrett Swasey, police officer and junior ice dancing champion (1992),0,9999
5876,"J. Randolph Tucker, Jr.", politician and judge,0,9999
5877,Xosé Neira Vilas, author,0,9999
5878,Philippe Washer, tennis player,0,9999
5879,Mircea Anca, actor and director,0,9999
5880,Aurèle Audet, politician,0,9999
5881,Yoka Berretty," actress (Makkers Staakt uw Wild Geraas, The Silent Raid, Punk Lawyer)",0,9999
5882,Luc Bondy, theater and opera director,0,9999
5883,Gerry Byrne, footballer (Liverpool national team) World Cup Champion (1966),0,9999
5884,Marion Crecco," politician, member of the New Jersey General Assembly (1986–2002)",0,9999
5885,Tahir Elçi, pro-Kurdish lawyer,0,9999
5886,Federico O. Escaler," Roman Catholic prelate, Prelate of Kidapawan (1976–1980) and Ipil (1980–1997)",0,9999
5887,Ivan Hlevnjak, footballer,0,9999
5888,Jean Joubert, author,0,9999
5889,Doug Lennox, actor and writer,0,9999
5890,Lin Rong-San," billionaire politician, publisher and businessman",0,9999
5891,Marjorie Lord, film and television actress (The Danny Thomas Show),0,9999
5892,Nauro Machado, poet,0,9999
5893,José María Mendiluce, politician and author,0,9999
5894,Janez Strnad, physicist,0,9999
5895,Tomasz Tomczykiewicz, politician member of Sejm (2001–2015),0,9999
5896,Olene Walker," politician, Governor (2003–2005) and Lieutenant Governor of Utah (1993–2003)",0,9999
5897,Claire Aho, photographer,0,9999
5898,Wayne Bickerton," songwriter (""Nothing but a Heartache"", ""Sugar Baby Love""), record producer, and music executive",0,9999
5899,Ramón de los Santos, baseball player (Houston Astros),0,9999
5900,John Demarie, football player (Cleveland Browns),0,9999
5901,Ottó Dóra," politician, Mayor of Salgótarján (since 2014)",0,9999
5902,Joseph F. Girzone, Catholic priest and author,0,9999
5903,George Hadjinikos, musician,0,9999
5904,Jonathan Janson, Olympic sailor,0,9999
5905,Vasyl Lishchynskyi, Paralympic athlete,0,9999
5906,Tunku Abdul Malik, royal,0,9999
5907,Joe Marston, soccer player (Preston North End) and manager (national team),0,9999
5908,Joachim Carlos Martini, conductor (Junge Kantorei),0,9999
5909,Christopher Middleton, poet and translator,0,9999
5910,Buddy Moreno, musician and radio and television personality,0,9999
5911,Otto Newman, sociologist,0,9999
5912,Oʻtkir Sultonov," politician, Prime Minister (1995–2003)",0,9999
5913,Meli Bainimarama, businessman and permanent secretary,0,9999
5914,Pío Caro Baroja, director and writer,0,9999
5915,Jack Brizendine, horse trainer,0,9999
5916,Nigel Buxton, travel writer,0,9999
5917,Charles Shipley Cox, oceanographic physicist,0,9999
5918,Jean Deplace, cellist,0,9999
5919,Bob Dustal, baseball player (Detroit Tigers),0,9999
5920,Jack Fagan, rugby league player,0,9999
5921,Greg Fisk," politician, Mayor of Juneau, Alaska (2015)",0,9999
5922,Minas Hatzisavvas, actor,0,9999
5923,Gerrit Holdijk, politician Senator (1986–1987 1991–2015),0,9999
5924,Sabri Khan, sarangi player,0,9999
5925,Marcus Klingberg, scientist and spy for the Soviet Union,0,9999
5926,Brajraj Mahapatra," monarch, Raja of Tigiria State (1943–1947)",0,9999
5927,Fatema Mernissi, feminist writer and sociologist,0,9999
5928,Shigeru Mizuki, manga artist (GeGeGe no Kitarō Onward Towards Our Noble Deaths Showa: A History of Japan),0,9999
5929,Adolph Plummer, sprinter,0,9999
5930,Eldar Ryazanov, film director (Carnival Night The Irony of Fate Promised Heaven),0,9999
5931,Steve Shagan," novelist, screenwriter, and producer (Save the Tiger, Voyage of the Damned, Primal Fear)",0,9999
5932,David Simmons, ethnologist and historian,0,9999
5933,Renzo Trivelli, politician,0,9999
5934,Leslie Waddington, art dealer,0,9999
5935,Edwar al-Kharrat, novelist,0,9999
5936,Rob Blokzijl, physicist and computer scientist,0,9999
5937,Marc Breslow," game show director (The Price is Right, Match Game, Family Feud)",0,9999
5938,Joseph Engelberger, engineer and inventor,0,9999
5939,Leoni Franco," musician, composer and guitarist",0,9999
5940,Robert E. Glennen," academic, President of Emporia State University (1985–1997)",0,9999
5941,Shirley Gunter, R&B singer,0,9999
5942,John F. Kurtzke, neurologist,0,9999
5943,Jim Loscutoff, basketball player (Boston Celtics) NBA champion (1957 1959–1964),0,9999
5944,Trevor Obst, football player (Port Adelaide),0,9999
5945,Xavier Olea Muñoz," lawyer and politician, Governor of Guerrero (1975)",0,9999
5946,Marjorie Oludhe Macgoye, writer,0,9999
5947,Antonio Troyo Calderón," Roman Catholic prelate, Auxiliary Bishop of San José de Costa Rica (1979–2002)",0,9999
5948,Theodor Borchgrevink, civil engineer,0,9999
5949,Bryony Brind, ballerina,0,9999
5950,John Eaton, composer,0,9999
5951,Gabriele Ferzetti," actor (L'Avventura, On Her Majesty's Secret Service, Once Upon a Time in the West)",0,9999
5952,Ray Gandolf, sportscaster,0,9999
5953,Shelby Highsmith, federal judge,0,9999
5954,Sam Ibiam, footballer (national team),0,9999
5955,Ferenc Juhász, poet,0,9999
5956,Wim Kolijn, politician,0,9999
5957,Ernst Larsen," runner, Olympic bronze medalist (1956)",0,9999
5958,Will McMillan," actor (General Hospital, The Crazies), producer, and director",0,9999
5959,Bob Martyn, baseball player (Kansas City Athletics),0,9999
5960,Sir John Osborn," politician, Member of Parliament for Sheffield Hallam (1959–1987)",0,9999
5961,M. A. M. Ramaswamy, industrialist and politician,0,9999
5962,John Rassias, language professor,0,9999
5963,Wally Roker, R&B singer and music executive,0,9999
5964,George T. Sakato," soldier, Medal of Honor recipient",0,9999
5965,A. Sheriff, screenwriter (Avalude Ravukal),0,9999
5966,Thom Thomas, playwright,0,9999
5967,Anthony Valentine," actor (Colditz, Coronation Street, Escape to Athena)",0,9999
5968,Luz Marina Zuluaga," beauty queen, Miss Universe (1958)",0,9999
5969,Syed Rizwan Farook,28.,0,9999
5970,Tashfeen Malik,29.,0,9999
5971,Gladstone Anderson, musician,0,9999
5972,Willie Burden, football player (Calgary Stampeders) and sports administrator,0,9999
5973,Roy Evans, trade union leader,0,9999
5974,Sunil Hettiarachchi, actor,0,9999
5975,Eevi Huttunen," speed skater, world champion (1951, 1953, 1954, 1957, 1959), Olympic bronze medalist (1960)",0,9999
5976,Lawrence Pugh," businessman, chief executive of VF Corporation",0,9999
5977,Arthur R. Taylor," businessman, president of CBS",0,9999
5978,Howard West, TV producer (Seinfeld),0,9999
5979,Melvin Williams, drug trafficker and actor (The Wire),0,9999
5980,Michael Wilson, cricketer,0,9999
5981,Jaime Camino," film director (The Long Winter, Lights and Shadows)",0,9999
5982,Erik De Vlaeminck," cyclist, seven-time world-champion cyclo-cross (1966, 1968–1973)",0,9999
5983,Norman Engleback, architect,0,9999
5984,John Glad, academic and translator,0,9999
5985,Ricardo Guízar Díaz," Roman Catholic prelate, Archbishop of Tlalnepantla (1996–2009)",0,9999
5986,Henry Hall, physicist,0,9999
5987,Robert Loggia, actor (Jagged Edge Scarface Big),0,9999
5988,Rodney Milnes, opera critic,0,9999
5989,Karen Montgomery, actress and film producer,0,9999
5990,Irakli Ochiauri, sculptor,0,9999
5991,Takamasa Sakurai, author and popular culture expert proponent of anime for cultural exchange,0,9999
5992,Yossi Sarid," politician, member of Knesset (1974–2006), Minister of Environment (1992–1996) and Education (1999–2000)",0,9999
5993,Dmitry Shumkov, lawyer and investor,0,9999
5994,Dag Skogheim, writer,0,9999
5995,Xu Ming, entrepreneur and billionaire,0,9999
5996,Zafar Altaf, cricket player administrator and civil servant,0,9999
5997,Willie Coburn, footballer (St Johnstone),0,9999
5998,Peter Cochrane, World War II army officer,0,9999
5999,Luigi Conti," diplomat, Apostolic nuncio (1975–2003)",0,9999
6000,Ray Crooke," artist, winner of the Archibald Prize (1969)",0,9999
6001,Kiki Divaris, fashion designer,0,9999
6002,Vic Eliason, Christian broadcaster,0,9999
6003,Marty Feldman, football coach (Oakland Raiders) and Marine,0,9999
6004,Markku Häkkinen, botanist,0,9999
6005,Yolande Henderson, teacher,0,9999
6006,William McIlvanney, novelist and poet,0,9999
6007,Hack Meyers, professional wrestler (ECW),0,9999
6008,Marília Pêra, actress (Pixote Better Days Ahead),0,9999
6009,Dimitar Iliev Popov," politician, Prime Minister (1990–1991)",0,9999
6010,Tibor Rubin, Medal of Honor recipient and Holocaust survivor,0,9999
6011,Wolfgang Sandner, physicist,0,9999
6012,Siddhi Savetsila," politician, Minister of Foreign Affairs (1980–1990), Deputy Prime Minister (1986)",0,9999
6013,Dave Scholz, basketball player (Philadelphia 76ers),0,9999
6014,Franz Speta, botanist,0,9999
6015,Chuck Williams," business executive and author, founder of Williams-Sonoma",0,9999
6016,Bruce Yorke, politician,0,9999
6017,Dale Anderson, ice hockey player (Detroit Red Wings),0,9999
6018,Ken Beatrice," radio personality (WMAL, WTEM)",0,9999
6019,Ian Burns, footballer (Aberdeen),0,9999
6020,Mack Herron, football player,0,9999
6021,Ko Chun-hsiung, actor (Eight Hundred Heroes Attack Force Z) director and politician member of the Legislative Yuan (2005–2008),0,9999
6022,Franzl Lang, yodeler,0,9999
6023,Liu Juying, politician and army general,0,9999
6024,Mariuccia Mandelli," fashion designer, founder of Krizia",0,9999
6025,Mike Mangold, commercial and aerobatics pilot world champion (2005 2007),0,9999
6026,Mick McLaughlin," footballer (Hereford United, Newport County)",0,9999
6027,John L. Myers, politician,0,9999
6028,Jaafar Mohammed Saad, politician and general Governor of Aden (since 2015),0,9999
6029,Georg Smefjell, ice hockey player,0,9999
6030,Nicholas Smith, actor (Are You Being Served? Wallace & Gromit: The Curse of the Were-Rabbit Doctor Who),0,9999
6031,Zoltán Szabó," cardiac surgeon, performed nation's first successful heart transplant",0,9999
6032,Tomi Taira, actress,0,9999
6033,Holly Woodlawn, actress and Warhol superstar,0,9999
6034,Betty Bourke, health administrator,0,9999
6035,Martin E. Brooks," actor (The Six Million Dollar Man, The Bionic Woman, Dallas)",0,9999
6036,Lolita Aniyar de Castro, politician,0,9999
6037,Horn Chen, businessman,0,9999
6038,Jesse C. Deen, politician,0,9999
6039,Heinz Fricke, conductor and music director,0,9999
6040,Hoàng Hà Giang," Taekwondo athlete, silver medalist at the 2005 Asian Games",0,9999
6041,Gerhard Lenski, sociologist,0,9999
6042,Rrok Mirdita," Roman Catholic prelate, Archbishop of Tiranë-Durrës (since 1992)",0,9999
6043,Kenneth Partridge, interior decorator,0,9999
6044,Elaine Riley, actress,0,9999
6045,Hyron Spinrad, astronomer,0,9999
6046,Shirley Stelfox, actress (Emmerdale Keeping Up Appearances Coronation Street),0,9999
6047,Jennifer Taylor, architect and academic,0,9999
6048,Peter Westbury, racing driver,0,9999
6049,Mattiwilda Dobbs, coloratura soprano,0,9999
6050,Gus Gil," baseball player (Cleveland Indians, Milwaukee Brewers, Seattle Pilots)",0,9999
6051,Alan Hodgkinson," footballer (Sheffield United, national team)",0,9999
6052,Derek Hyatt, landscape painter,0,9999
6053,Bonnie Lou, country singer,0,9999
6054,Gary Marker, bassist (Rising Sons Captain Beefheart and his Magic Band) and recording engineer,0,9999
6055,Johnny More, impressionist,0,9999
6056,J. Hugh Nichols, politician,0,9999
6057,Anthony Francis Sharma," Roman Catholic prelate, Vicar Apostolic of Nepal (1984–2014)",0,9999
6058,Jokelyn Tienstra, handball player,0,9999
6059,Douglas Tompkins, conservationist and businessman co-founder of The North Face and Esprit,0,9999
6060,Ross Turnbull, ice hockey player (Philadelphia Ramblers),0,9999
6061,John Trudell, Indian activist and poet,0,9999
6062,Elsie Tu," social activist, member of the Legislative Council of Hong Kong (1988–1995)",0,9999
6063,Ramashankar Yadav, poet and activist,0,9999
6064,Soshana Afroyim, painter,0,9999
6065,Norman Breslow, statistician and medical researcher,0,9999
6066,John Cockerton, Anglican priest and academic,0,9999
6067,Carlo Furno," Roman Catholic prelate, Cardinal (since 1994) and Apostolic nuncio (1973–1995)",0,9999
6068,Robert Grant," politician, member of the Kansas House of Representatives (1991–1994, 1997–2013)",0,9999
6069,Gheorghe Gruia," handball player, world champion (1964, 1970), Olympic bronze medalist (1972)",0,9999
6070,Rusty Jones, jazz drummer,0,9999
6071,Juvenal Juvêncio, lawyer and sports director,0,9999
6072,Akiyuki Nosaka, novelist (Grave of the Fireflies),0,9999
6073,Henry Rowan, philanthropist and engineer,0,9999
6074,Matthew Shija," Roman Catholic prelate, Bishop of Kahama (1983–2001)",0,9999
6075,Julio Terrazas Sandoval," Roman Catholic prelate, Cardinal (since 2001) and Archbishop of Santa Cruz de la Sierra (1991–2013)",0,9999
6076,Jenny Wormald, historian,0,9999
6077,Klaus Baumgartner, politician,0,9999
6078,Ian Bell, journalist and author,0,9999
6079,Rainer Bloss, electronic musician (Drive Inn),0,9999
6080,Ron Bouchard, NASCAR driver,0,9999
6081,Walter Fawcett, cricketer,0,9999
6082,Maurice Graham," rugby union player (New South Wales, New Zealand)",0,9999
6083,Denis Héroux, film director and producer,0,9999
6084,Dermot Patrick O’Mahony," Roman Catholic prelate, Auxiliary Bishop of Dublin (1975–1996)",0,9999
6085,Arnold Peralta, footballer (national team Rangers F.C.),0,9999
6086,Desmond Robinson, Olympic cyclist,0,9999
6087,Dolph Schayes, Hall of Fame basketball player and coach (Philadelphia 76ers) NBA champion (1955),0,9999
6088,Barry Schweid, news correspondent (Associated Press),0,9999
6089,Donald J. Stohr," federal judge, U.S. District Court Judge for the Eastern District of Missouri (1992–2006)",0,9999
6090,Mihai Adam, footballer,0,9999
6091,Harry Butler, naturalist and conservationist,0,9999
6092,Samir Chakrabarti, cricketer,0,9999
6093,Steve Chimombo, writer,0,9999
6094,Lloyd Dane, racing driver,0,9999
6095,Jake Howard, rugby union player (national team),0,9999
6096,Igor Kashintsev, actor,0,9999
6097,Abish Kekilbayev, politician and academic,0,9999
6098,Jiří Paďour," Roman Catholic prelate, Bishop of České Budějovice (2002–2014)",0,9999
6099,Gaston Salvatore, writer,0,9999
6100,H. Arnold Steinberg," business and educational administrator, Chancellor of McGill University (2009–2014)",0,9999
6101,Hema Upadhyay, artist,0,9999
6102,"John ""Hot Rod"" Williams", basketball player (Cleveland Cavaliers Phoenix Suns),0,9999
6103,Ken Woolley, architect,0,9999
6104,Zyx, cartoonist and publisher (Croc),0,9999
6105,Luis Bermejo, cartoonist and illustrator,0,9999
6106,Ignacio Carrau, politician and lawyer,0,9999
6107,Jon Gadsby, writer and comedian (A Week of It),0,9999
6108,Gösta Gärdin," modern pentathlete, Olympic bronze medalist (1948)",0,9999
6109,Frans Geurtsen," footballer (DWS, national team)",0,9999
6110,Sir Peter Gregson, civil servant,0,9999
6111,Ken Johnson, Olympic steeplechase athlete (1952),0,9999
6112,Sharad Anantrao Joshi, politician and social activist,0,9999
6113,Federico Kirbus, author,0,9999
6114,Evelyn S. Lieberman, public affairs professional White House Deputy Chief of Staff (1996),0,9999
6115,I. Howard Marshall, theologian,0,9999
6116,Yuri Marushkin, football player and manager,0,9999
6117,Gene Ready, politician member of the Florida House of Representatives (1977–1984),0,9999
6118,John Scott-Scott, aerospace engineer,0,9999
6119,Rose Siggins, actress (American Horror Story),0,9999
6120,Chaudhary Yashpal Singh, politicia,0,9999
6121,Gregory Baker Wolfe, diplomat and academic,0,9999
6122,Benedict Anderson, academic and writer (Imagined Communities),0,9999
6123,John Bannon, politician Premier of South Australia (1982–1992),0,9999
6124,Albert Bontridder, architect and writer,0,9999
6125,Luigi Creatore, songwriter and record producer,0,9999
6126,James Gillies, politician,0,9999
6127,Marleen de Pater-van der Meer," politician, member of the House of Representatives (2001–2010)",0,9999
6128,Phil Pepe, sportswriter,0,9999
6129,Gretchen Quie, artist First Lady of Minnesota (1979–1983) restored the Minnesota Governor's Residence,0,9999
6130,Peter Ryan, newspaper columnist,0,9999
6131,Donald Weinstein, historian,0,9999
6132,Terry Backer, politician member of the Connecticut House of Representatives (since 1993),0,9999
6133,Armando Cossutta," politician, member of the European Parliament (1999–2004)",0,9999
6134,Johnny Egan, Gaelic football player (Offaly),0,9999
6135,Kathryn H. Kidd, author,0,9999
6136,Joe Lancaster, football player and trainer,0,9999
6137,Edmund Lyndeck," singer and actor (Big Daddy, Enchanted, Road Trip)",0,9999
6138,"Leander J. Shaw, Jr."," politician, Chief Justice of Florida Supreme Court (1990–1992)",0,9999
6139,Glen Sonmor, ice hockey player (New York Rangers) and head coach (Minnesota North Stars),0,9999
6140,Mick Twomey, football player (Collingwood),0,9999
6141,Vadym Tyshchenko," football player (Karpaty, Dnipro) and manager (Dnipro), Olympic champion (1988)",0,9999
6142,Lillian Vernon," businesswoman, founder of Lillian Vernon",0,9999
6143,Aleš Veselý, sculptor,0,9999
6144,Tom Arden, author,0,9999
6145,Stella Doufexis, mezzo-soprano,0,9999
6146,Licio Gelli," financier, Venerable Master of the Propaganda Due lodge",0,9999
6147,Charles C. Lanham," politician, member of West Virginia Senate",0,9999
6148,Ken Pogue," actor (The 6th Day, The Dead Zone, Millennium)",0,9999
6149,Kathy Secker, television presenter,0,9999
6150,Harry Zvi Tabor, physicist,0,9999
6151,Noboru Ando, actor and yakuza,0,9999
6152,Svein Bakke, footballer (Sogndal),0,9999
6153,John Bates, college basketball coach (Maryland Eastern Shore Coppin State),0,9999
6154,Peter Dickinson, author,0,9999
6155,Khodadad Mirza Farman Farmaian, Qajar dynasty royal and banker,0,9999
6156,Gabre Gabric, track and field athlete,0,9999
6157,Snuff Garrett, record producer,0,9999
6158,Aafje Heynis, contralto,0,9999
6159,Brian Keeble," footballer (Grimsby Town, Darlington)",0,9999
6160,Bob Krause, college athletic director (Kansas State University),0,9999
6161,Heinz-Otto Kreiss, mathematician,0,9999
6162,Lizmark, professional wrestler,0,9999
6163,Jim McAnany," baseball player (Chicago White Sox, Chicago Cubs)",0,9999
6164,Anthony Muto, fashion designer,0,9999
6165,Zoulikha Nasri," politician, Secretary of State for National Cooperation (1997–1998)",0,9999
6166,George Earl Ortman, artist,0,9999
6167,Ray Price, motorcycle builder and racer,0,9999
6168,René Saorgin, organist,0,9999
6169,Harry Scott, boxer,0,9999
6170,Joseph Tellechéa, footballer,0,9999
6171,Enoch Thorsgard, politician,0,9999
6172,Hal Brown," baseball player (Boston Red Sox, Baltimore Orioles, Houston Colt .45s)",0,9999
6173,Serge Devèze, football manager,0,9999
6174,Zaevion Dobson, football player,0,9999
6175,Osamu Hayaishi, biochemist,0,9999
6176,Buckshot Hoffner, politician,0,9999
6177,Vladimir Kostyukov, football coach and player (Dnepr Mogilev),0,9999
6178,Kamal Ahmed Rizvi, actor and writer,0,9999
6179,Joseph Roduit," Roman Catholic prelate, Abbot of Saint-Maurice d'Agaune (1999–2015)",0,9999
6180,Michael Wyschogrod, Jewish theologian,0,9999
6181,Luc Brewaeys, composer and musician,0,9999
6182,Florentino Broce, football player and coach,0,9999
6183,Slobodan Čašule," politician, Minister of Foreign Affairs (2001–2002)",0,9999
6184,Yūzan Fujita," politician, Governor of Hiroshima Prefecture (1993–2009)",0,9999
6185,Carl Furlonge, cricketer,0,9999
6186,Joe Gilmore, barman,0,9999
6187,Evelio Hernández, baseball player (Washington Senators),0,9999
6188,Vittore Gottardi, footballer,0,9999
6189,Stuart Milton Hodgson," politician, Commissioner of the Northwest Territories (1967–1979)",0,9999
6190,Martin Jære, skier,0,9999
6191,Daifallah Masadeh," politician, State Minister for Legal Affairs (2000–2001)",0,9999
