id,name,description,selected_by,sortorder
8214,George Curry, football coach,0,9999
8215,Mame Younousse Dieng, writer,0,9999
8216,Artur Górski, politician member of Sejm (since 2005),0,9999
8217,Kao Ching-yuen, businessman (Uni-President Enterprises Corporation),0,9999
8218,Richard S. Kem, army Major-General,0,9999
8219,Emil Keres, actor and theatre director,0,9999
8220,Clarence Makwetu, politician,0,9999
8221,Herbert Theodore Milburn, judge,0,9999
8222,John Minney," cricketer (Cambridge University, Northamptonshire)",0,9999
8223,Carl Nordling, physicist,0,9999
8224,Marjorie Peters, baseball player (AAGBPL),0,9999
8225,Patricia Thompson, philosopher,0,9999
8226,André Villers, photographer,0,9999
8227,Tony Whittaker, solicitor and politician,0,9999
8228,Ron Wicks, NHL ice hockey referee,0,9999
8229,Gato Barbieri, jazz saxophonist,0,9999
8230,Rick Bartow, artist,0,9999
8231,Moreese Bickham, convicted murderer and anti-death penalty activist,0,9999
8232,Sergio Ferrari, footballer,0,9999
8233,Gallieno Ferri," comic book artist (Zagor, Mister No)",0,9999
8234,Boris Hybner, actor and mime artist,0,9999
8235,Gareth Jones, legal academic,0,9999
8236,Martin Lampkin, motorcycle trials rider,0,9999
8237,Nabil Nosair, footballer (Zamalek),0,9999
8238,Dennis Riggin, ice hockey player (Detroit Red Wings),0,9999
8239,László Sárosi, football player and coach,0,9999
8240,Thomas Zeng Jing-mu," clandestine Roman Catholic prelate, Bishop of Yujiang (1988–2012)",0,9999
8241,Robert Abajyan, (Nagorno-Karabakh Defense Army),0,9999
8242,Samid Imanov, (Special Forces),0,9999
8243,Murad Mirzayev, (Special Forces),0,9999
8244,Kyaram Sloyan, (Nagorno-Karabakh Defense Army),0,9999
8245,Abu Firas al-Suri, al-Nusra Front senior official,0,9999
8246,Phanor Arizabaleta-Arzayus, criminal,0,9999
8247,John C. Baldwin, cardiac surgeo,0,9999
8248,"John Vane, 11th Baron Barnard", peer,0,9999
8249,Erik Bauersfeld," radio dramatist (KPFA) and voice actor (Star Wars, A.I. Artificial Intelligence, Crimson Peak)",0,9999
8250,Ward Crutchfield," politician, member of the Tennessee Senate (1985–2007)",0,9999
8251,Bob Ellis, writer (Newsfront My First Wife) and journalist,0,9999
8252,Bas van Erp," wheelchair tennis player, Paralympic bronze medalist (2004)",0,9999
8253,Leopoldo Flores, artist,0,9999
8254,Don Francks, jazz vocalist and actor (La Femme Nikita Inspector Gadget I'm Not There),0,9999
8255,Robert Guinan, painter,0,9999
8256,Lars Gustafsson, writer and scholar,0,9999
8257,Rowley Habib, writer,0,9999
8258,Henry Harpending, anthropologist,0,9999
8259,Bill Henderson, jazz vocalist and actor (Clue City Slickers White Men Can't Jump),0,9999
8260,"Dick Hodgins, Jr.", cartoonist,0,9999
8261,Alex de Jesús, professional and Olympic lightweight boxer (2004),0,9999
8262,Cesare Maldini, football player and manager,0,9999
8263,Joe Medicine Crow, Crow historian,0,9999
8264,Ronald Mulkearns, Roman Catholic prelate Bishop of Ballarat (1971–1997),0,9999
8265,Whai Ngata," Māori broadcaster, journalist and lexicographer",0,9999
8266,Noh Jin-kyu, short track speed skater world champion (2011 2012),0,9999
8267,Lola Novaković, singer,0,9999
8268,Ian Robinson, cricket umpire,0,9999
8269,Jules Schelvis, historian and Holocaust survivor,0,9999
8270,Kōji Wada," singer (""Butter-Fly"" ""All of My Mind"")",0,9999
8271,John Waite, footballer (Grimsby Town),0,9999
8272,Clarence Clifton Young," politician, member of the U.S. House of Representatives (1953–1957), Nevada Senate (1966–1980) and Supreme Court (1985–2002)",0,9999
8273,Ranjan Baindoor, cricketer,0,9999
8274,Jarle Bondevik, philologist,0,9999
8275,Archie Dees," basketball player (Cincinnati Royals, Detroit Pistons)",0,9999
8276,Georgi Hristakiev," footballer, Olympic silver medalist (1968)",0,9999
8277,Shahidul Islam Khokon, filmmaker,0,9999
8278,Chus Lampreave," actress (Belle Époque, Volver)",0,9999
8279,Carlo Mastrangelo, bassist and doo-wop singer (The Belmonts),0,9999
8280,Getatchew Mekurya, jazz saxophonist,0,9999
8281,John Miller," politician, member of the Virginia Senate (since 2008)",0,9999
8282,Royston Nash, conductor (D'Oyly Carte Opera Company),0,9999
8283,George Radosevich, football player (Baltimore Colts),0,9999
8284,Mike Sandlock, baseball player (Brooklyn Dodgers),0,9999
8285,Abe Segal, tennis player,0,9999
8286,Song Soo-kwon, writer,0,9999
8287,Ken Waterhouse," footballer (Preston North End, Rotherham United)",0,9999
8288,John Carlson, sportscaster,0,9999
8289,Michael Earls-Davis, cricketer,0,9999
8290,Zyta Gilowska," politician, Minister of Finance (2006, 2007), Deputy Prime Minister (2006, 2007)",0,9999
8291,Roman Gribbs," politician, Mayor of Detroit (1970–1974)",0,9999
8292,Leon Haywood, funk and soul singer,0,9999
8293,Ed Johnson, basketball player,0,9999
8294,Koço Kasapoğlu, footballer,0,9999
8295,George Gelaga King, judge,0,9999
8296,Zena Latto, jazz saxophonist,0,9999
8297,Kerrie Lester, painter,0,9999
8298,Elsie Morison, soprano,0,9999
8299,E. M. Nathanson, author (The Dirty Dozen),0,9999
8300,Cornel Patrichi, ballet dancer choreographer and actor,0,9999
8301,Mick Sullivan," rugby league footballer (Wigan), world champion (1954, 1960)",0,9999
8302,Ahmed Refai Taha," terrorist, leader of al-Gama'a al-Islamiyya",0,9999
8303,Barbara Turner," actress (Soldier Blue) and screenwriter (Georgia, Pollock, The Company)",0,9999
8304,Frank Wainright," football player (Miami Dolphins, Baltimore Ravens), NFL champion (2000)",0,9999
8305,Orison Rudolph Aggrey," diplomat, Ambassador to the Gambia (1973–1977), Senegal (1973–1977) and Romania (1977–1981)",0,9999
8306,Joe Freeman Britt, attorney and death penalty advocate,0,9999
8307,Dennis Davis, drummer (David Bowie Stevie Wonder),0,9999
8308,Jaime Pedro Gonçalves," Roman Catholic prelate, Archbishop of Beira (1976–2012)",0,9999
8309,Darrell Hogan, football player (Pittsburgh Steelers),0,9999
8310,Bernd Hoss, football manager,0,9999
8311,Garry Jones, footballer (Bolton Wanderers),0,9999
8312,Joel Kurtzman, economist,0,9999
8313,Robert MacCrate," lawyer, President of the American Bar Association (1987–1988)",0,9999
8314,Ogden Mills Phipps, horse breeder,0,9999
8315,Pablo Lucio Vasquez, murderer,0,9999
8316,Murray Wier," basketball player (Tri-Cities Blackhawks, Waterloo Hawks)",0,9999
8317,László Bárczay," chess Grandmaster (FIDE, ICCF)",0,9999
8318,Freda Briggs," professor and child protection expert, Senior Australian of the Year (2000)",0,9999
8319,A V. Christie, poet,0,9999
8320,Frank E. Denholm," politician, member of the House of Representatives from South Dakota (1971–1975)",0,9999
8321,Marcel Dubé, playwright,0,9999
8322,Hendrikje Fitz, actress (In aller Freundschaft),0,9999
8323,Adrian Greenwood, art dealer and author,0,9999
8324,Theodore van Houten, author and journalist,0,9999
8325,Vladimir Kagan, furniture designer,0,9999
8326,Cyril Edel Leonoff, civil engineer and historian,0,9999
8327,Carlo Monti," athlete, Olympic bronze medalist (1948)",0,9999
8328,Blackjack Mulligan," professional wrestler (WWWF, JCP, CWF)",0,9999
8329,Charles Thomas, archaeologist,0,9999
8330,Jimmie Van Zant, singer songwriter and guitarist,0,9999
8331,Chuck Waseleski, baseball statistician (Boston Red Sox),0,9999
8332,Ruth Westbrook, cricket player and coach (national team),0,9999
8333,Sir John Yocklunn, librarian and government advisor,0,9999
8334,Nicola Abu Raed, actor and director,0,9999
8335,Dick Alban," football player (Washington Redskins, Pittsburgh Steelers)",0,9999
8336,Mircea Albulescu, actor and writer,0,9999
8337,Harry Apted, cricketer,0,9999
8338,Victoria Chitepo, politician,0,9999
8339,Anatol Ciobanu," linguist, writer and university professor",0,9999
8340,David Dore," figure skating competitor, judge and official, President (1980–1984) and Director General (1986–2004) of the CFSA",0,9999
8341,Phoebus Dhrymes, economist,0,9999
8342,Doug France, football player (Los Angeles Rams),0,9999
8343,Paul Fung Jr., cartoonist (Blondie),0,9999
8344,Mildred Gordon," politician, MP for Bow and Poplar (1987–1997)",0,9999
8345,William Hamilton, cartoonist,0,9999
8346,Jack Hammer," musician and songwriter (""Great Balls of Fire"")",0,9999
8347,Charles Hirsch, forensic pathologist,0,9999
8348,Julien Hoferlin, tennis coach (national team),0,9999
8349,George Ilsley, football player (Carlton),0,9999
8350,Fred Middleton, footballer (Lincoln City),0,9999
8351,Elizabeth Roemer, astronomer,0,9999
8352,Erich Rudorffer, Luftwaffe fighter ace during World War II,0,9999
8353,Gene Salvay, aircraft engineer,0,9999
8354,Edward J. Steimel," lobbyist and fundraiser, founder of the Louisiana Association of Business and Industry",0,9999
8355,David Swift, actor (Drop the Dead Donkey),0,9999
8356,Wei Chueh," Buddhist monk, founder of the Chung Tai Shan",0,9999
8357,Frederic W. Allen, judge,0,9999
8358,Arthur Anderson," actor (Courage the Cowardly Dog, Midnight Cowboy), voice of Lucky Charms leprechaun",0,9999
8359,Duane Clarridge, spy (CIA Eclipse Group),0,9999
8360,Tony Conrad, avant-garde musician composer video artist and professor (University at Buffalo),0,9999
8361,Juris Ekmanis," academic, President of Latvian Academy of Sciences (2004–2012)",0,9999
8362,Finn Hodt, speed skating competitor and coach,0,9999
8363,J. Vinton Lawrence, CIA paramilitary officer,0,9999
8364,Bea Maddock, artist,0,9999
8365,Lucas Martínez Lara," Roman Catholic prelate, Bishop of Matehuala (since 2006)",0,9999
8366,Patrick J. O'Donnell, academic,0,9999
8367,Martin Roberts, rugby union player (Gloucester Rugby),0,9999
8368,Derrick Rochester," politician and trade unionist, MP for South East St Elizabeth (1972–1980, 1989–2002), member of the Senate (1980–1983)",0,9999
8369,John Ferrone, book editor (The Color Purple),0,9999
8370,Louis Gladstone, politician,0,9999
8371,Nicholas Hood," politician and civil rights activist, Detroit City Councilman (1965–1993)",0,9999
8372,Howard Marks, cannabis smuggler writer and legalisation campaigner,0,9999
8373,Thomas Kwaku Mensah," Roman Catholic prelate, Bishop of Obuasi (1995–2008) and Archbishop of Kumasi (2008–2012)",0,9999
8374,Wayne Southwick, surgeon and academic,0,9999
8375,Henryk Średnicki," boxer, amateur World Champion (1978)",0,9999
8376,N. H. Wadia, neurologist,0,9999
8377,Tony Ayers, public servant,0,9999
8378,Doug Banks, radio personality (The Doug Banks Radio Show),0,9999
8379,Joao Carvalho, mixed martial arts fighter,0,9999
8380,Albert Filozov, actor,0,9999
8381,Emile Ford," singer (""What Do You Want to Make Those Eyes at Me For?"") and sound engineer",0,9999
8382,Hokie Gajan, football player and broadcaster (New Orleans Saints),0,9999
8383,Mohsen Gheytaslou, soldier (65th Airborne Special Forces Brigade),0,9999
8384,Ruth Gilbert, poet,0,9999
8385,Yura Halim," politician, Chief Minister (1967–1972) and lyricist (national anthem)",0,9999
8386,Anne Gould Hauberg," arts patron, founder of the Pilchuck Glass School",0,9999
8387,Alan Hurd, cricketer,0,9999
8388,Peter J. Jannetta, neurosurgeon (Allegheny General Hospital),0,9999
8389,Dame Marion Kettlewell," naval officer, Director of the Wrens (1966–1970)",0,9999
8390,Alvin Lubis, musician,0,9999
8391,Huntly D. Millar, medical technology executive,0,9999
8392,Miss Shangay Lily, drag queen,0,9999
8393,Veenu Paliwal, motorcyclist,0,9999
8394,Édgar Perea, politician and football commentator,0,9999
8395,Steve Quinn," rugby league player (York, Featherstone)",0,9999
8396,Richard Ransom, businessman (Hickory Farms),0,9999
8397,Ed Snider, sports executive (Comcast Spectacor Philadelphia Flyers Philadelphia 76ers),0,9999
8398,A. R. Surendran," lawyer, President's Counsel (2004)",0,9999
8399,James Bond, navy officer,0,9999
8400,Aquilino Bonfanti, footballer,0,9999
8401,Robbie Brennan," musician (Skid Row, Auto Da Fé, Grand Slam)",0,9999
8402,"Hector A. Cafferata, Jr."," soldier, Medal of Honor recipient",0,9999
8403,Paul Carey, radio broadcaster (Detroit Tigers),0,9999
8404,Gianroberto Casaleggio," entrepreneur, co-founder of Five Star Movement",0,9999
8405,Pedro de Felipe," footballer (Real Madrid, Espanyol)",0,9999
8406,David Gest, TV producer (Michael Jackson: 30th Anniversary Special) and reality show contestant (I'm a Celebrity...Get Me Out of Here!),0,9999
8407,Gib Guilbeau, musician (The Flying Burrito Brothers) and composer (Boxcar Bertha),0,9999
8408,Anne Jackson," actress (The Shining, Folks!, Dirty Dingus Magee)",0,9999
8409,Bryce Jordan," academic administrator, President of the Pennsylvania State University (1983–1990)",0,9999
8410,Alexander Kanengoni, writer,0,9999
8411,Alan Loveday," violinist (Royal Philharmonic Orchestra, Academy of St Martin in the Fields)",0,9999
8412,Balls Mahoney," professional wrestler (ECW, WWE, SMW)",0,9999
8413,André Mayamba Mabuti Kathongo," Roman Catholic prelate, Bishop of Popokabaka (1979–1993)",0,9999
8414,Tōru Ōhira," voice actor (Super Sentai, One Piece)",0,9999
8415,Tibor Ordina, track and field athlete,0,9999
8416,Tomaž Pandur, theatre director,0,9999
8417,Spec Richardson, baseball executive (Houston Astros),0,9999
8418,Agha Saleem, writer,0,9999
8419,Sir Arnold Wesker, playwright,0,9999
8420,Said Zahari, journalist and political prisoner,0,9999
8421,Srinivas Aravamudan, academic,0,9999
8422,Márton Balázs, mathematician,0,9999
8423,Jackie Carter, children's author,0,9999
8424,Julio García Espinosa, film director and screenwriter (The Adventures of Juan Quin Quin),0,9999
8425,Nuri Gezerdaa, politician,0,9999
8426,Kurtis Haiu, rugby union player (Auckland Blues),0,9999
8427,Matthias Joseph Isuja," Roman Catholic prelate, Bishop of Dodoma (1972–2005)",0,9999
8428,Robert W. Lundeen, executive (Tektronix),0,9999
8429,Mariano Mores, tango composer and pianist,0,9999
8430,Eeti Nieminen, Nordic skier,0,9999
8431,Rex Patterson," politician, MP for Dawson (1966–1975)",0,9999
8432,Jock Scot, poet and recording artist,0,9999
8433,Manouchehr Sotodeh, geographer and scholar of Persian literature,0,9999
8434,Jeremy Steig, jazz flutist,0,9999
8435,Gareth Thomas, actor (Blake's 7 Children of the Stones Star Maidens),0,9999
8436,Gwyn Thomas," poet and academic, National Poet (2006–2008)",0,9999
8437,Ray Thornton," attorney and politician, member of the United States House of Representatives from Arkansas (1973–1979, 1991–1997)",0,9999
8438,Nera White, Hall of Fame basketball player,0,9999
8439,Bernard B. Wolfe," politician, member of the Illinois House of Representatives (1965–1974)",0,9999
8440,Pete Yellin, jazz saxophonist and educator,0,9999
8441,Sayed Zayan, actor,0,9999
8442,Nguyen Anh 9, songwriter and pianist,0,9999
8443,Ahmed Brahim, politician,0,9999
8444,David Collischon, executive (Filofax),0,9999
8445,Martin Fitzmaurice, darts personality,0,9999
8446,Gaetano Gagliano, entrepreneur,0,9999
8447,Francesco Guarraci, mobster,0,9999
8448,Hector Hatch," boxer (1956 Olympics), politician and civil servant",0,9999
8449,Fred Hayman," fashion retailer (Giorgio Beverly Hills) and entrepreneur, helped develop Rodeo Drive",0,9999
8450,James W. Huston, author and lawyer,0,9999
8451,Dan Ireland," film producer and director (Jolene, The Whole Wide World, Mrs. Palfrey at the Claremont)",0,9999
8452,Ilija Ivezić," film actor (Last of the Renegades, The Golden Years, Marshal Tito's Spirit)",0,9999
8453,Colin Knight," educationalist, principal of Christchurch Teachers' College (1986–1995)",0,9999
8454,Liang Sili," missile control scientist and academician (Chinese Academy of Sciences), vice-president of the International Astronautical Federation",0,9999
8455,Sir David MacKay, author physicist and professor (University of Cambridge),0,9999
8456,Rod Reyes, broadcast executive and journalist (The Standard),0,9999
8457,Phil Sayer, voice artist,0,9999
8458,Malick Sidibé, photographer,0,9999
8459,Xu Caidong," metallurgist and academician (Chinese Academy of Sciences), vice-governor of Guizhou",0,9999
8460,Ron Theobald, baseball player (Milwaukee Brewers),0,9999
8461,Carl M. Vogel, politician member of the Missouri Senate (2003–2011),0,9999
8462,"Orville Gilbert Brim, Jr.", social psychologist,0,9999
8463,Anne Grommerch, politician member of the National Assembly (since 2008) Mayor of Thionville (since 2014),0,9999
8464,Laura Liu, state judge Cook County Circuit Court judge (2010–2014) Illinois Appellate Court judge (since 2014),0,9999
8465,Frederick Mayer, spy (OSS),0,9999
8466,A. A. Raiba, painter,0,9999
8467,Harold Shillinglaw, football player and cricketer,0,9999
8468,Morag Siller, actress (Emmerdale Memphis Belle Casualty),0,9999
8469,Richard Smith, painter,0,9999
8470,Lars-Inge Svartenbrandt, criminal,0,9999
8471,Louis Van Geyt," politician, chairman of Communist Party of Belgium (1972–1989)",0,9999
8472,Guy Woolfenden, composer and conductor,0,9999
8473,Muhammad Ayyub, imam and Islamic scholar,0,9999
8474,Ron Bonham," basketball player (Boston Celtics, Indiana Pacers), NBA champion (1965, 1966)",0,9999
8475,Jeanette Bonnier," media proprietor (Bonnier Group), journalist (Expressen) and author",0,9999
8476,David R. Brown, computer scientist,0,9999
8477,Miloud Chaabi, businessman,0,9999
8478,Rod Daniel, film director (Teen Wolf K-9 WKRP in Cincinnati),0,9999
8479,Donald B. Easum, diplomat,0,9999
8480,William M. Gray, meteorologist,0,9999
8481,Guan Guangfu," politician, Communist Party Chief of Hubei",0,9999
8482,Bernhard Hassenstein, biologist and behaviorist,0,9999
8483,Charlie Hodge," ice hockey player (Montreal Canadiens, Vancouver Canucks) and scout, NHL champion (1956, 1958, 1959, 1960, 1965, 1966)",0,9999
8484,Clarence James," politician, Deputy Premier (1983–1989)",0,9999
8485,Maurice Kenny, poet,0,9999
8486,Rubén Mendoza Ayala, politician,0,9999
8487,Nathanael Orr," politician, member of the New South Wales Legislative Council (1976–1984)",0,9999
8488,U Pandita, Buddhist monk and meditation teacher,0,9999
8489,Louis Pilot," football player (Fola Esch, Standard Liège, Royal Antwerp) and manager (national team)",0,9999
8490,Ilias Polatidis, politician,0,9999
8491,Ismael Quintana, singer and composer,0,9999
8492,Peter Rock, rock musician,0,9999
8493,Helmut Rohde, politician,0,9999
8494,Kit West," special effects artist (Raiders of the Lost Ark, Dragonheart, Enemy at the Gates), Oscar winner (1982)",0,9999
8495,Ken Aldred," politician, MP for Henty (1975–1980), Bruce (1983–1990) and Deakin (1990–1996)",0,9999
8496,Tiga Bayles, radio presenter and indigenous rights activist,0,9999
8497,Kong Bunchhoeun, author and songwriter,0,9999
8498,Bettye Caldwell, educator (University of Arkansas at Little Rock) and child-development campaigner (NAEYC),0,9999
8499,Bob Charles," politician, MP for La Trobe (1990–2004)",0,9999
8500,Clifton C. Garvin," businessman, CEO of Exxon (1975–1986)",0,9999
8501,Luis Horacio Gomez González," Roman Catholic prelate, Vicar Apostolic of Puerto Gaitán (2014–2016)",0,9999
8502,Anthony Keane, Olympic fencer (1968),0,9999
8503,Toshiro Konishi, chef pioneer of Japanese cuisine in Lima,0,9999
8504,Sergey Malyutin, footballer (FC Kaluga),0,9999
8505,Bruce Mansfield, radio and television personality,0,9999
8506,Scott Nimerfro, writer and producer (Hannibal Once Upon a Time X-Men),0,9999
8507,Constantine Papastephanou," Eastern Orthodox prelate, Metropolitan of Baghdad and Kuwait (1969-2014)",0,9999
8508,Doris Roberts, actress (Everybody Loves Raymond Remington Steele Christmas Vacation),0,9999
8509,Trần Phước Thọ, footballer (Long An U23 national team),0,9999
8510,Nicolas Tikhomiroff, photographer,0,9999
8511,Brian Asawa, opera singer,0,9999
8512,Paul Busiek, politician,0,9999
8513,Yuri Bychkov, art historian,0,9999
8514,William Campbell, business executive (Apple) and college football coach (Columbia University),0,9999
8515,"Adrian Berry, 4th Viscount Camrose", journalist,0,9999
8516,Robert Christophe," swimmer, European champion (1958, 1962)",0,9999
8517,Barry Davies, soldier and author,0,9999
8518,Rubén Héctor di Monte," Roman Catholic prelate, Archbishop of Mercedes-Luján (2000–2007)",0,9999
8519,Marwan Dudin," politician, Minister of Agriculture (1980–1984) and Minister of State for the Occupied Territory Affairs (1986–1988)",0,9999
8520,Hugh Faulkner," politician, MP for Peterborough (1965–1979)",0,9999
8521,Ben-Zion Gold, rabbi,0,9999
8522,Cox Habbema," actress, theater director and manager",0,9999
8523,Eva Henning, stage and movie actress,0,9999
8524,Fritz Herkenrath, footballer (Rot-Weiss Essen),0,9999
8525,Karina Huff, actress (The House of Clocks Time for Loving Voices from Beyond) and television personality,0,9999
8526,Proverb Jacobs," footballer (Philadelphia Eagles, New York Giants)",0,9999
8527,"Sir John Leslie, 4th Baronet", aristocrat and media personality,0,9999
8528,Arnulfo Mejía Rojas, architect and Catholic priest,0,9999
8529,Johan van Minnen," journalist and politician, member of the European Parliament (1979–1984)",0,9999
8530,Vladimir Nemukhin, painter (Bulldozer Exhibition),0,9999
8531,"Charles J. Pilliod, Jr."," business executive and diplomat, Ambassador to Mexico (1986–1989)",0,9999
8532,Guy Prather, football player (Green Bay Packers),0,9999
8533,Fulvio Roiter," photographer, Prix Nadar winner (1956)",0,9999
8534,Gert Schramm, Holocaust survivor,0,9999
8535,Zoltán Szarka," football player and coach, Olympic champion (1968)",0,9999
8536,Tao Siju," politician, minister of Public Security",0,9999
8537,Gerasimos Arsenis," politician, Minister for National Defense (1993–1996) and National Education and Religious Affairs (1996–2000)",0,9999
8538,Patricio Aylwin," politician, President (1990–1994)",0,9999
8539,Estelle Balet, snowboarder world champion (2015 2016),0,9999
8540,Dud Beattie, rugby league footballer (Queensland),0,9999
8541,Errikos Belies, translator and poet,0,9999
8542,Dorothy R. Burnley," politician, member of the North Carolina General Assembly (1980–1984)",0,9999
8543,Russell Dove, sports shooter,0,9999
8544,Harry Elderfield, geochemist and professor (University of Cambridge),0,9999
8545,Ronit Elkabetz, actress and film director (Gett: The Trial of Viviane Amsalem),0,9999
8546,Karl-Heinz von Hassel, actor,0,9999
8547,Walter Kohn," theoretical physicist, Nobel laureate (1998)",0,9999
8548,Lord Tanamo, ska and mento musician,0,9999
8549,Richard Lyons, musician (Negativland),0,9999
8550,John McConathy," basketball player (Milwaukee Hawks, Northwestern State)",0,9999
8551,Mehrdad Oladi, footballer (Malavan),0,9999
8552,Billy Redmayne, motorcycle racer,0,9999
8553,Igor Volchok, football manager,0,9999
8554,Pete Zorn, musician (Steeleye Span Richard Thompson The Albion Band),0,9999
8555,"Solomon Blatt, Jr."," federal judge, U.S. District Court for South Carolina (since 1971)",0,9999
8556,Cynthia Cooke," nurse, Matron-in-Chief of the Queen Alexandra's Royal Naval Nursing Service (1973–1976)",0,9999
8557,Velda González, actress and politician,0,9999
8558,Guy Hamilton," film director (James Bond, Battle of Britain, Evil Under the Sun)",0,9999
8559,Avril Henry, academic,0,9999
8560,Dame Leonie Kramer," academic, author and university administrator",0,9999
8561,Attila Özdemiroğlu, composer,0,9999
8562,Solly Pandor, football manager,0,9999
8563,Harry Perkowski," baseball player (Chicago Cubs, Cincinnati Reds)",0,9999
8564,Qi Benyu, politician and propagandist,0,9999
8565,Giannis Voglis, actor,0,9999
8566,Dwayne Washington, basketball player (New Jersey Nets Miami Heat Syracuse University),0,9999
8567,Victoria Wood, comedian and actress (New Faces Victoria Wood As Seen on TV Dinnerladies),0,9999
8568,Yu Songlie," agricultural scientist, educator and academician (Chinese Academy of Engineering)",0,9999
8569,Jack Tafari, activist,0,9999
8570,Frederick Bruce-Lyle, judge in the Caribbean,0,9999
8571,Valeriu Cotea," oenologist, member of Romanian Academy",0,9999
8572,Nade Haley, artist,0,9999
8573,Levi Karuhanga, major general,0,9999
8574,Per-Simon Kildal, antenna specialist,0,9999
8575,Hans Koschnick," politician and diplomat, Bremen Senate president and mayor (1967–1985), President of the Bundesrat (1970–1971, 1981–1982), MP (1987–1998)",0,9999
8576,Marco Leto," film and television director (Black Holiday, Al piacere di rivederla)",0,9999
8577,Toshio Mashima, composer,0,9999
8578,D. B. Nihalsinghe, filmmaker (Welikathara),0,9999
8579,Utako Okamoto, medical scientist,0,9999
8580,Ferenc Paragi," Olympic javelin thrower (1976, 1980), world record holder (1980–1983)",0,9999
8581,Peter Ruckman, Independent Baptist pastor,0,9999
8582,Dene Smuts," politician, MP (1989–2014)",0,9999
8583,"John Walton, Baron Walton of Detchant"," politician, member of the House of Lords (since 1989)",0,9999
8584,David Beresford, journalist,0,9999
8585,Yvon Charbonneau, politician,0,9999
8586,Rudolph Chimelli, journalist and author,0,9999
8587,Isabelle Dinoire," woman, first person to undergo a partial face transplant",0,9999
8588,Rex Fell, Thoroughbred breeder,0,9999
8589,Ojārs Grīnbergs, singer,0,9999
8590,Roger Khawam, antique dealer and Egyptologist,0,9999
8591,John Lumsden, footballer (Stoke City),0,9999
8592,Ariffin Mohammed, cult leader (Sky Kingdom),0,9999
8593,Jory Prum, audio engineer and video game developer (Adaptation The Walking Dead Brütal Legend),0,9999
8594,Peter Sellers, sports broadcaster,0,9999
8595,Soran Singh, politician member of the Khyber Pakhtunkhwa Assembly (since 2013),0,9999
8596,Sir Denys Wilkinson, nuclear physicist,0,9999
8597,Ron Brace, football player (Boston College New England Patriots),0,9999
8598,Alfons Van den Brande, cyclist,0,9999
8599,Errol Crossan, footballer (Norwich City),0,9999
8600,Attila Ferjáncz," racing driver, Hungarian Rally champion (1976–1982, 1985, 1990)",0,9999
8601,Luis González Seara, politician,0,9999
8602,Inge King, sculptor,0,9999
8603,Vjatšeslav Kobrin, guitarist and songwriter,0,9999
8604,Tom Muecke," CFL player (Winnipeg Blue Bombers, Edmonton Eskimos)",0,9999
8605,Tony Munro, sports journalist,0,9999
8606,Sir Richard Parsons," diplomat, Ambassador to Hungary, Spain and Sweden",0,9999
8607,Jacques Perry, novelist,0,9999
8608,"Maurice Peston, Baron Peston"," economist and politician, member of the House of Lords (since 1987)",0,9999
8609,Miguel Picazo," film director, screenwriter and actor (La Tía Tula)",0,9999
8610,John Steven Satterthwaite," Roman Catholic prelate, Bishop of Lismore (1971–2001)",0,9999
8611,Bill Sevesi, musician,0,9999
8612,Madeleine Sherwood," actress (Cat on a Hot Tin Roof, The Flying Nun)",0,9999
8613,A. F. M. Rezaul Karim Siddique, professor (Rajshahi University),0,9999
8614,Banharn Silpa-archa, politician Prime Minister (1995–1996),0,9999
8615,Horace Ward, judge,0,9999
8616,Paul Hisao Yasuda," Roman Catholic prelate, Archbishop of Osaka (1978–1997)",0,9999
8617,Zafar Ishaq Ansari, Islamic scholar,0,9999
8618,Paul Annear, jeweller,0,9999
8619,Nina Arkhipova, film and stage actress (Burnt by the Sun),0,9999
8620,Chen Shilu," flight mechanic, educator and academician (Chinese Academy of Engineering)",0,9999
8621,Manuel de la Torre, golf player and instructor,0,9999
8622,Robert Dolan, marine geologist,0,9999
8623,Walter Jackson Freeman III, biologist,0,9999
8624,"Perry O. Hooper, Sr."," judge, Chief Justice of the Supreme Court of Alabama (1995–2001)",0,9999
8625,Steve Julian, radio host (KPCC),0,9999
8626,Kiviaq, lawyer politician boxer and football player,0,9999
8627,Tommy Kono, weightlifter Olympic champion (1952 1956) world champion (1953–1959),0,9999
8628,Thinle Lhondup, actor (Himalaya),0,9999
8629,Grace Lotowycz, botanist,0,9999
8630,Benjamin Manglona, politician Lieutenant Governor (1990–1994),0,9999
8631,Ricardo Torres Origel, politician,0,9999
8632,Lizette Parker, politician Mayor of Teaneck New Jersey (since 2014),0,9999
8633,Billy Paul," R&B singer (""Me and Mrs. Jones"")",0,9999
8634,George Pieterson, clarinetist,0,9999
8635,Terry Redlin, artist,0,9999
8636,Klaus Siebert," biathlon athlete and coach, world champion (1978, 1979), Olympic silver medalist (1980)",0,9999
8637,Papa Wemba, singer,0,9999
8638,George Alexis Weymouth, artist and conservationist,0,9999
8639,Dumitru Antonescu, footballer (Farul Constanța),0,9999
8640,Remo Belli, drummer developed the synthetic drumhead (Remo),0,9999
8641,Joe Blahak, football player (Minnesota Vikings),0,9999
8642,Nicolae Esinencu, screenwriter and writer,0,9999
8643,Mel George, professor and twice interim president of the University of Missouri,0,9999
8644,Martin Gray, Holocaust survivor and writer,0,9999
8645,Michal Hornstein, executive,0,9999
